Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,13,0.25,symmetric,0.33799133512127055
75% Corpus,13,0.5,0.25,0.3270533220870736
75% Corpus,13,0.5,0.5,0.32442299372905165
75% Corpus,13,0.5,0.75,0.3324707378301127
75% Corpus,13,0.5,1.0,0.3397369691946014
75% Corpus,13,0.5,symmetric,0.34498923733870324
75% Corpus,13,0.75,0.25,0.33902570722107106
75% Corpus,13,0.75,0.5,0.34708361769661844
75% Corpus,13,0.75,0.75,0.34260388334655456
75% Corpus,13,0.75,1.0,0.3383544643330356
75% Corpus,13,0.75,symmetric,0.3353581631943171
75% Corpus,13,1.0,0.25,0.34320814860708154
75% Corpus,13,1.0,0.5,0.3434016445300076
75% Corpus,13,1.0,0.75,0.3466266435120027
75% Corpus,13,1.0,1.0,0.3425647004418124
75% Corpus,13,1.0,symmetric,0.33703803762132506
75% Corpus,13,symmetric,0.25,0.38390045188782185
75% Corpus,13,symmetric,0.5,0.3710642900595436
75% Corpus,13,symmetric,0.75,0.37428097809454297
75% Corpus,13,symmetric,1.0,0.36945957471255864
75% Corpus,13,symmetric,symmetric,0.37808773982786004
75% Corpus,13,asymmetric,0.25,0.36088318349404686
75% Corpus,13,asymmetric,0.5,0.358013544140341
75% Corpus,13,asymmetric,0.75,0.3666480255424155
75% Corpus,13,asymmetric,1.0,0.36745939029935276
75% Corpus,13,asymmetric,symmetric,0.35368622841438796
75% Corpus,14,0.25,0.25,0.33260558545809543
75% Corpus,14,0.25,0.5,0.3512368419738175
75% Corpus,14,0.25,0.75,0.35203391703831477
75% Corpus,14,0.25,1.0,0.3526417755521514
75% Corpus,14,0.25,symmetric,0.3432357279943258
75% Corpus,14,0.5,0.25,0.3188945295277925
75% Corpus,14,0.5,0.5,0.3286100097308268
75% Corpus,14,0.5,0.75,0.3376870010133407
75% Corpus,14,0.5,1.0,0.33467221418753323
75% Corpus,14,0.5,symmetric,0.32876572468224957
75% Corpus,14,0.75,0.25,0.34499761563421316
75% Corpus,14,0.75,0.5,0.33458226511158534
75% Corpus,14,0.75,0.75,0.33172678364568436
75% Corpus,14,0.75,1.0,0.33537043652724213
75% Corpus,14,0.75,symmetric,0.3437599358089258
75% Corpus,14,1.0,0.25,0.33571904155956883
75% Corpus,14,1.0,0.5,0.33645180431038274
75% Corpus,14,1.0,0.75,0.3316118013467535
75% Corpus,14,1.0,1.0,0.33725188791639205
75% Corpus,14,1.0,symmetric,0.322665649804299
75% Corpus,14,symmetric,0.25,0.3611336590555584
75% Corpus,14,symmetric,0.5,0.37763510617484963
75% Corpus,14,symmetric,0.75,0.377164606169683
75% Corpus,14,symmetric,1.0,0.3813827024382887
75% Corpus,14,symmetric,symmetric,0.3738190224655229
75% Corpus,14,asymmetric,0.25,0.35122087891557896
75% Corpus,14,asymmetric,0.5,0.36790444112480447
75% Corpus,14,asymmetric,0.75,0.3583862621111081
75% Corpus,14,asymmetric,1.0,0.37887918004269894
75% Corpus,14,asymmetric,symmetric,0.3524220602330055
